timeframe,trade_index,timestamp,equity,return_pct,series_id,option_type
3m,1,2025-05-29T11:27:00+05:30,110.0,10.0,NIFTY|monthly|2025-05-29,PE
3m,2,2025-05-29T15:30:00+05:30,109.5365,-0.4214,NIFTY|monthly|2025-05-29,CE
3m,3,2025-06-24T13:24:00+05:30,120.4901,10.0,SENSEX|monthly|2025-06-24,PE
3m,4,2025-07-29T13:15:00+05:30,132.5391,10.0,SENSEX|monthly|2025-07-29,CE
3m,5,2025-07-31T11:03:00+05:30,159.0469,20.0,NIFTY|monthly|2025-07-31,CE
3m,6,2025-08-26T15:00:00+05:30,190.8563,20.0,SENSEX|monthly|2025-08-26,PE
3m,7,2025-09-25T12:54:00+05:30,229.0276,20.0,SENSEX|monthly|2025-09-25,PE
3m,8,2025-09-25T15:30:00+05:30,178.623,-22.0081,SENSEX|monthly|2025-09-25,CE
3m,9,2025-10-30T14:00:00+05:30,214.3476,20.0,SENSEX|monthly|2025-10-30,PE
3m,10,2025-10-30T15:30:00+05:30,189.4084,-11.6349,SENSEX|monthly|2025-10-30,CE
3m,11,2025-11-27T10:54:00+05:30,227.2901,20.0,SENSEX|monthly|2025-11-27,PE
3m,12,2025-12-24T15:30:00+05:30,203.5504,-10.4447,SENSEX|monthly|2025-12-24,CE
3m,13,2026-02-26T11:45:00+05:30,244.2604,20.0,SENSEX|monthly|2026-02-26,PE
3m,14,2026-02-26T15:30:00+05:30,212.8896,-12.8432,SENSEX|monthly|2026-02-26,PE
5m,0,2025-04-29T13:10:00+05:30,100.0,0.0,,
5m,1,2025-05-02T10:35:00+05:30,125.9151,25.9151,SENSEX|weekly|2025-05-13,CE
5m,2,2025-05-09T09:15:00+05:30,130.0692,3.2991,SENSEX|weekly|2025-05-13,PE
5m,3,2025-05-09T09:15:00+05:30,165.5425,27.2727,NIFTY|weekly|2025-05-15,PE
5m,4,2025-05-12T10:10:00+05:30,192.062,16.0197,SENSEX|weekly|2025-05-13,CE
5m,5,2025-05-12T10:10:00+05:30,221.1121,15.1254,NIFTY|weekly|2025-05-15,CE
5m,6,2025-05-13T09:20:00+05:30,77.7074,-64.8561,SENSEX|weekly|2025-05-20,PE
5m,7,2025-05-13T09:50:00+05:30,112.3426,44.5713,SENSEX|weekly|2025-05-20,CE
5m,8,2025-05-13T10:40:00+05:30,128.2014,14.1164,NIFTY|weekly|2025-05-15,PE
5m,9,2025-05-13T13:05:00+05:30,141.4543,10.3376,NIFTY|weekly|2025-05-15,PE
5m,10,2025-05-13T15:30:00+05:30,0.0996,-99.9296,SENSEX|weekly|2025-05-13,PE
5m,11,2025-05-14T12:55:00+05:30,0.1667,67.3988,NIFTY|weekly|2025-05-15,PE
5m,12,2025-05-15T10:40:00+05:30,0.1958,17.4532,NIFTY|weekly|2025-05-15,CE
5m,13,2025-05-15T12:20:00+05:30,0.1967,0.4831,NIFTY|weekly|2025-05-15,CE
5m,14,2025-05-15T13:50:00+05:30,0.2558,30.0,NIFTY|monthly|2025-06-26,CE
5m,15,2025-05-15T15:30:00+05:30,0.0002,-99.9037,NIFTY|weekly|2025-05-15,PE
5m,16,2025-05-15T15:30:00+05:30,0.0006,155.3538,NIFTY|weekly|2025-05-15,CE
5m,17,2025-05-16T09:40:00+05:30,0.0009,42.3723,SENSEX|weekly|2025-05-20,CE
5m,18,2025-05-20T15:30:00+05:30,0.0,-99.981,SENSEX|weekly|2025-05-20,PE
5m,19,2025-05-20T15:30:00+05:30,0.0,-68.7987,SENSEX|weekly|2025-05-20,CE
5m,20,2025-05-22T15:00:00+05:30,0.0,28.7898,SENSEX|weekly|2025-06-03,PE
5m,21,2025-05-26T10:30:00+05:30,0.0,8.6943,SENSEX|weekly|2025-06-03,CE
5m,22,2025-05-27T11:05:00+05:30,0.0,-3.93,SENSEX|weekly|2025-06-03,PE
5m,23,2025-05-27T14:50:00+05:30,0.0,14.6408,SENSEX|weekly|2025-06-03,PE
5m,24,2025-06-02T09:20:00+05:30,0.0,30.0,NIFTY|weekly|2025-06-12,PE
5m,25,2025-06-03T15:30:00+05:30,0.0,-99.9953,SENSEX|weekly|2025-06-03,CE
5m,26,2025-06-03T15:30:00+05:30,0.0,-1.868,SENSEX|weekly|2025-06-03,PE
5m,27,2025-06-05T12:20:00+05:30,0.0,30.0,NIFTY|weekly|2025-06-19,CE
5m,28,2025-06-06T11:55:00+05:30,0.0,30.0,NIFTY|weekly|2025-06-19,CE
5m,29,2025-06-10T15:30:00+05:30,0.0,-99.9961,SENSEX|weekly|2025-06-10,PE
5m,30,2025-06-10T15:30:00+05:30,0.0,-42.6602,SENSEX|weekly|2025-06-10,CE
5m,31,2025-06-12T15:30:00+05:30,0.0,-99.982,NIFTY|weekly|2025-06-12,CE
5m,32,2025-06-12T15:30:00+05:30,0.0,-97.1339,NIFTY|weekly|2025-06-12,PE
5m,33,2025-06-13T09:15:00+05:30,0.0,30.0,NIFTY|weekly|2025-06-19,PE
5m,34,2025-06-19T15:30:00+05:30,0.0,-74.8309,NIFTY|weekly|2025-06-19,CE
5m,35,2025-06-19T15:30:00+05:30,0.0,-99.9719,NIFTY|weekly|2025-06-19,PE
5m,36,2025-06-19T15:30:00+05:30,0.0,-24.8755,NIFTY|weekly|2025-06-19,CE
5m,37,2025-06-20T10:30:00+05:30,0.0,30.0,NIFTY|weekly|2025-07-03,CE
5m,38,2025-06-20T15:05:00+05:30,0.0,30.0,SENSEX|weekly|2025-07-01,CE
5m,39,2025-06-23T14:05:00+05:30,0.0,30.0,NIFTY|weekly|2025-07-03,CE
5m,40,2025-06-24T09:15:00+05:30,0.0,30.0,SENSEX|weekly|2025-07-01,CE
5m,41,2025-06-24T11:15:00+05:30,0.0,30.0,NIFTY|monthly|2025-07-31,CE
5m,42,2025-06-26T09:30:00+05:30,0.0,30.0,SENSEX|weekly|2025-07-01,CE
5m,43,2025-06-26T09:30:00+05:30,0.0,30.0,SENSEX|weekly|2025-07-08,CE
5m,44,2025-06-26T13:20:00+05:30,0.0,30.0,NIFTY|weekly|2025-07-03,CE
5m,45,2025-06-26T15:30:00+05:30,0.0,-99.9858,NIFTY|monthly|2025-06-26,PE
5m,46,2025-06-26T15:30:00+05:30,0.0,10.9244,NIFTY|monthly|2025-06-26,CE
5m,47,2025-06-27T09:15:00+05:30,0.0,30.0,NIFTY|monthly|2025-07-31,CE
5m,48,2025-06-27T09:15:00+05:30,0.0,30.0,NIFTY|weekly|2025-07-10,CE
5m,49,2025-06-30T13:15:00+05:30,0.0,30.0,NIFTY|weekly|2025-07-10,PE
5m,50,2025-07-01T15:30:00+05:30,0.0,-99.9952,SENSEX|weekly|2025-07-01,PE
5m,51,2025-07-01T15:30:00+05:30,0.0,-1.2071,SENSEX|weekly|2025-07-01,CE
5m,52,2025-07-01T15:30:00+05:30,0.0,-0.9626,SENSEX|weekly|2025-07-01,CE
5m,53,2025-07-02T13:30:00+05:30,0.0,30.0,SENSEX|weekly|2025-07-15,PE
5m,54,2025-07-02T13:30:00+05:30,0.0,30.0,NIFTY|weekly|2025-07-10,PE
