strategy,underlying,expiry_kind,expiry,option_type,entry_time,entry_price,exit_time,exit_price,exit_reason,blended_return,max_possible_return,ladder_exits,remaining_at_exit
target_30pct,NIFTY,weekly,2025-05-15,CE,2025-05-05 09:30:00+05:30,279.0,2025-05-12 10:00:00+05:30,362.7,target_30pct_hit,30.0,142.5269,,0.0
target_50pct,NIFTY,weekly,2025-05-15,CE,2025-05-05 09:30:00+05:30,279.0,2025-05-12 12:35:00+05:30,418.5,target_50pct_hit,50.0,142.5269,,0.0
target_75pct,NIFTY,weekly,2025-05-15,CE,2025-05-05 09:30:00+05:30,279.0,2025-05-12 14:15:00+05:30,488.25,target_75pct_hit,75.0,142.5269,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-05-15,CE,2025-05-14 09:40:00+05:30,271.64,2025-05-14 12:50:00+05:30,190.148,hard_sl,-30.0,149.0981,,1.0
target_30pct,NIFTY,weekly,2025-05-15,CE,2025-05-14 09:40:00+05:30,271.64,2025-05-15 10:40:00+05:30,353.132,target_30pct_hit,30.0,149.0981,,0.0
target_50pct,NIFTY,weekly,2025-05-15,CE,2025-05-14 09:40:00+05:30,271.64,2025-05-15 13:10:00+05:30,407.46,target_50pct_hit,50.0,149.0981,,0.0
target_75pct,NIFTY,weekly,2025-05-15,CE,2025-05-14 09:40:00+05:30,271.64,2025-05-15 13:15:00+05:30,475.37,target_75pct_hit,75.0,149.0981,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-05-15,CE,2025-05-15 12:05:00+05:30,207.0,2025-05-15 12:10:00+05:30,250.75,trail_stop,23.7947,226.8841,30.0,0.7
target_30pct,NIFTY,weekly,2025-05-15,CE,2025-05-15 12:05:00+05:30,207.0,2025-05-15 12:10:00+05:30,269.1,target_30pct_hit,30.0,226.8841,,0.0
target_50pct,NIFTY,weekly,2025-05-15,CE,2025-05-15 12:05:00+05:30,207.0,2025-05-15 13:10:00+05:30,310.5,target_50pct_hit,50.0,226.8841,,0.0
target_75pct,NIFTY,weekly,2025-05-15,CE,2025-05-15 12:05:00+05:30,207.0,2025-05-15 13:10:00+05:30,362.25,target_75pct_hit,75.0,226.8841,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-05-15,CE,2025-05-15 12:55:00+05:30,239.55,2025-05-15 13:10:00+05:30,396.145,trail_stop,50.6111,182.4671,30.0|40.0|50.0|60.0|70.0,0.3
target_30pct,NIFTY,weekly,2025-05-15,CE,2025-05-15 12:55:00+05:30,239.55,2025-05-15 13:10:00+05:30,311.415,target_30pct_hit,30.0,182.4671,,0.0
target_50pct,NIFTY,weekly,2025-05-15,CE,2025-05-15 12:55:00+05:30,239.55,2025-05-15 13:10:00+05:30,359.325,target_50pct_hit,50.0,182.4671,,0.0
target_75pct,NIFTY,weekly,2025-05-15,CE,2025-05-15 12:55:00+05:30,239.55,2025-05-15 13:10:00+05:30,419.2125,target_75pct_hit,75.0,182.4671,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-05-15,PE,2025-05-02 14:30:00+05:30,367.95,2025-05-05 09:15:00+05:30,257.565,hard_sl,-30.0,61.4893,,1.0
