entry_time,entry_price,return_pct,exit_reason,max_possible,option_type,exp
2025-07-03 13:15:00+05:30,117.0,50.0,target,90.0,PE,2025-07-08
2025-07-04 11:45:00+05:30,203.1,-50.0,sl,6.15,PE,2025-07-08
2025-07-01 13:15:00+05:30,904.75,-50.0,sl,0.0,CE,2025-07-15
2025-07-04 14:25:00+05:30,443.2,-50.0,sl,38.76,CE,2025-07-15
2025-07-01 13:10:00+05:30,669.25,-50.0,sl,128.52,PE,2025-07-15
2025-07-09 14:30:00+05:30,388.25,50.0,target,293.92,PE,2025-07-15
2025-07-10 13:45:00+05:30,565.45,50.0,target,170.47,PE,2025-07-15
2025-07-11 15:20:00+05:30,1026.2,0.4434,end,49.04,PE,2025-07-15
2025-07-08 12:35:00+05:30,802.25,-50.0,sl,16.66,CE,2025-07-22
2025-07-14 15:00:00+05:30,157.05,-50.0,sl,36.52,CE,2025-07-22
2025-07-16 12:15:00+05:30,94.5,-50.0,sl,35.61,CE,2025-07-22
2025-07-09 14:25:00+05:30,508.2,50.0,target,288.52,PE,2025-07-22
2025-07-11 15:20:00+05:30,1061.15,50.0,target,86.07,PE,2025-07-22
2025-07-21 09:25:00+05:30,1920.0,-31.6146,end,2.84,PE,2025-07-22
2025-07-28 10:25:00+05:30,272.7,-50.0,sl,0.62,CE,2025-08-05
2025-07-29 13:30:00+05:30,110.85,-50.0,sl,67.03,CE,2025-08-05
2025-07-31 11:35:00+05:30,87.65,50.0,target,111.24,CE,2025-08-05
2025-07-24 09:55:00+05:30,416.4,50.0,target,344.74,PE,2025-08-05
2025-07-24 15:00:00+05:30,554.15,50.0,target,234.19,PE,2025-08-05
2025-07-28 10:55:00+05:30,1098.1,50.0,target,68.65,PE,2025-08-05
2025-08-05 09:35:00+05:30,1535.0,9.7068,end,19.2,PE,2025-08-05
2025-07-29 13:15:00+05:30,950.0,-50.0,sl,31.05,CE,2025-08-12
2025-08-05 15:30:00+05:30,462.95,-50.0,sl,10.44,CE,2025-08-12
2025-08-07 14:30:00+05:30,151.0,50.0,target,138.41,CE,2025-08-12
2025-08-11 13:10:00+05:30,62.8,50.0,target,430.81,CE,2025-08-12
2025-07-31 09:25:00+05:30,540.0,-50.0,sl,90.19,PE,2025-08-12
2025-07-31 15:05:00+05:30,339.95,50.0,target,202.1,PE,2025-08-12
2025-08-04 09:45:00+05:30,623.8,50.0,target,64.64,PE,2025-08-12
2025-08-08 10:10:00+05:30,689.95,-50.0,sl,41.32,PE,2025-08-12
2025-08-12 11:10:00+05:30,378.85,-50.0,sl,68.19,PE,2025-08-12
2025-08-12 13:40:00+05:30,294.85,50.0,target,116.11,PE,2025-08-12
2025-08-06 12:35:00+05:30,967.3,-50.0,sl,67.44,CE,2025-08-19
2025-08-07 14:25:00+05:30,621.65,50.0,target,160.53,CE,2025-08-19
2025-08-08 13:00:00+05:30,618.7,50.0,target,161.77,CE,2025-08-19
2025-08-12 12:35:00+05:30,840.0,50.0,target,92.81,CE,2025-08-19
2025-08-18 13:20:00+05:30,1410.25,2.6307,end,10.94,CE,2025-08-19
2025-08-06 10:50:00+05:30,427.8,50.0,target,64.25,PE,2025-08-19
2025-08-08 10:10:00+05:30,497.8,-50.0,sl,33.81,PE,2025-08-19
2025-08-12 11:10:00+05:30,305.0,-50.0,sl,18.52,PE,2025-08-19
2025-08-14 11:50:00+05:30,200.25,-50.0,sl,2.57,PE,2025-08-19
2025-08-21 12:50:00+05:30,751.0,-50.0,sl,4.05,CE,2025-09-04
2025-08-25 09:40:00+05:30,412.0,-50.0,sl,5.72,CE,2025-09-04
2025-09-01 15:00:00+05:30,13.5,-50.0,sl,281.85,CE,2025-09-04
2025-09-04 09:15:00+05:30,27.25,-50.0,sl,89.17,CE,2025-09-04
2025-09-04 12:00:00+05:30,7.5,-50.0,sl,28.0,CE,2025-09-04
2025-08-21 13:40:00+05:30,565.75,50.0,target,276.75,PE,2025-09-04
2025-08-22 14:20:00+05:30,858.45,50.0,target,148.29,PE,2025-09-04
2025-08-28 12:30:00+05:30,1735.0,-50.0,sl,22.85,PE,2025-09-04
2025-09-04 12:25:00+05:30,1202.0,15.2205,end,18.35,PE,2025-09-04
2025-08-29 11:10:00+05:30,636.75,50.0,target,86.77,CE,2025-09-11
2025-09-04 13:05:00+05:30,830.0,-50.0,sl,43.28,CE,2025-09-11
2025-09-05 13:45:00+05:30,513.2,50.0,target,131.73,CE,2025-09-11
2025-09-09 09:50:00+05:30,705.6,50.0,target,68.54,CE,2025-09-11
2025-09-10 15:25:00+05:30,1023.9,2.3928,end,8.19,CE,2025-09-11
2025-08-28 12:40:00+05:30,657.15,-50.0,sl,34.54,PE,2025-09-11
2025-09-02 13:25:00+05:30,379.75,50.0,target,75.67,PE,2025-09-11
2025-09-04 12:25:00+05:30,269.25,50.0,target,81.19,PE,2025-09-11
2025-09-08 15:00:00+05:30,137.95,-50.0,sl,26.86,PE,2025-09-11
2025-09-04 13:30:00+05:30,688.5,-50.0,sl,191.17,CE,2025-09-18
2025-09-05 13:45:00+05:30,454.35,50.0,target,341.22,CE,2025-09-18
2025-09-10 15:25:00+05:30,764.7,50.0,target,162.16,CE,2025-09-18
2025-09-17 15:15:00+05:30,1672.75,14.8229,end,19.84,CE,2025-09-18
2025-09-04 13:50:00+05:30,631.6,-50.0,sl,44.79,PE,2025-09-18
2025-09-10 13:35:00+05:30,272.65,-50.0,sl,1.63,PE,2025-09-18
2025-09-12 15:30:00+05:30,87.15,-50.0,sl,4.25,PE,2025-09-18
2025-09-17 14:15:00+05:30,7.7,-50.0,sl,20.13,PE,2025-09-18
2025-09-17 15:05:00+05:30,813.9,-50.0,sl,21.64,CE,2025-10-01
2025-09-23 12:35:00+05:30,412.0,-50.0,sl,15.13,CE,2025-10-01
2025-09-24 13:10:00+05:30,210.0,-50.0,sl,7.6,CE,2025-10-01
2025-09-26 15:25:00+05:30,29.45,-50.0,sl,9.68,CE,2025-10-01
2025-09-17 12:35:00+05:30,443.4,50.0,target,403.36,PE,2025-10-01
2025-09-24 09:15:00+05:30,710.0,50.0,target,214.35,PE,2025-10-01
2025-09-29 11:45:00+05:30,2000.0,-18.8175,end,11.6,PE,2025-10-01
2025-09-29 09:45:00+05:30,353.95,-50.0,sl,148.06,CE,2025-10-09
2025-10-01 11:30:00+05:30,168.05,50.0,target,422.46,CE,2025-10-09
2025-10-03 11:50:00+05:30,188.05,50.0,target,366.9,CE,2025-10-09
2025-10-07 12:10:00+05:30,747.45,-50.0,sl,17.47,CE,2025-10-09
2025-10-08 13:20:00+05:30,540.3,24.3753,end,30.48,CE,2025-10-09
2025-09-25 14:05:00+05:30,455.05,50.0,target,170.38,PE,2025-10-09
2025-09-29 11:40:00+05:30,1002.25,-50.0,sl,22.76,PE,2025-10-09
2025-10-07 15:10:00+05:30,72.8,-50.0,sl,92.1,PE,2025-10-09
2025-10-08 11:00:00+05:30,69.1,50.0,target,102.39,PE,2025-10-09
2025-10-08 14:50:00+05:30,78.65,-50.0,sl,3.24,PE,2025-10-09
2025-10-03 14:40:00+05:30,806.5,50.0,target,218.06,CE,2025-10-16
2025-10-08 11:10:00+05:30,1474.15,50.0,target,74.01,CE,2025-10-16
2025-10-07 11:50:00+05:30,125.3,-50.0,sl,19.71,PE,2025-10-16
2025-10-13 09:15:00+05:30,41.85,50.0,target,92.95,PE,2025-10-16
2025-10-14 11:10:00+05:30,40.9,50.0,target,97.43,PE,2025-10-16
2025-10-16 13:05:00+05:30,4.35,-50.0,sl,8.05,PE,2025-10-16
2025-10-09 15:10:00+05:30,890.0,50.0,target,292.44,CE,2025-10-23
2025-10-20 09:25:00+05:30,2850.0,-3.3333,end,22.55,CE,2025-10-23
2025-10-13 09:20:00+05:30,305.0,50.0,target,53.92,PE,2025-10-23
2025-10-17 12:55:00+05:30,56.4,-50.0,sl,25.09,PE,2025-10-23
2025-10-23 12:00:00+05:30,1015.1,-50.0,sl,3.2,CE,2025-11-06
2025-10-27 09:15:00+05:30,500.05,50.0,target,64.97,CE,2025-11-06
2025-10-27 15:30:00+05:30,728.0,-50.0,sl,12.27,CE,2025-11-06
2025-11-03 14:25:00+05:30,98.8,-50.0,sl,9.72,CE,2025-11-06
2025-10-23 13:35:00+05:30,557.1,50.0,target,210.7,PE,2025-11-06
2025-10-24 12:50:00+05:30,855.1,-50.0,sl,102.42,PE,2025-11-06
2025-10-29 14:40:00+05:30,442.0,50.0,target,291.61,PE,2025-11-06
2025-10-31 10:25:00+05:30,770.8,50.0,target,124.56,PE,2025-11-06
2025-11-03 11:45:00+05:30,1086.25,50.0,target,59.35,PE,2025-11-06
2025-11-06 13:55:00+05:30,1651.35,2.1588,end,4.82,PE,2025-11-06
2025-10-31 09:40:00+05:30,769.35,-50.0,sl,4.11,CE,2025-11-13
2025-11-03 14:05:00+05:30,403.3,-50.0,sl,9.4,CE,2025-11-13
2025-11-07 12:45:00+05:30,38.05,50.0,target,373.06,CE,2025-11-13
2025-11-10 10:20:00+05:30,49.45,-50.0,sl,264.0,CE,2025-11-13
2025-11-11 12:40:00+05:30,23.65,50.0,target,661.1,CE,2025-11-13
2025-11-13 11:05:00+05:30,142.25,-50.0,sl,26.54,CE,2025-11-13
2025-11-13 13:40:00+05:30,133.5,-50.0,sl,34.83,CE,2025-11-13
2025-10-30 12:20:00+05:30,731.4,50.0,target,176.87,PE,2025-11-13
2025-11-03 11:55:00+05:30,1032.95,50.0,target,96.04,PE,2025-11-13
2025-11-10 13:55:00+05:30,1150.0,-50.0,sl,38.17,PE,2025-11-13
2025-11-12 15:25:00+05:30,366.0,-50.0,sl,49.7,PE,2025-11-13
2025-11-13 14:10:00+05:30,314.8,-50.0,sl,24.94,PE,2025-11-13
2025-11-06 13:05:00+05:30,807.0,-50.0,sl,152.32,CE,2025-11-20
2025-11-07 11:45:00+05:30,495.7,50.0,target,310.78,CE,2025-11-20
2025-11-11 12:15:00+05:30,546.7,50.0,target,272.46,CE,2025-11-20
2025-11-13 10:40:00+05:30,1232.6,50.0,target,65.2,CE,2025-11-20
2025-11-06 14:00:00+05:30,740.0,50.0,target,51.21,PE,2025-11-20
2025-11-10 15:05:00+05:30,533.8,50.0,target,50.82,PE,2025-11-20
2025-11-13 09:15:00+05:30,224.55,-50.0,sl,47.18,PE,2025-11-20
2025-11-18 09:15:00+05:30,67.8,-50.0,sl,44.03,PE,2025-11-20
2025-11-20 12:50:00+05:30,4.55,-50.0,sl,28.57,PE,2025-11-20
2025-11-21 12:25:00+05:30,983.0,-50.0,sl,5.74,CE,2025-12-04
2025-11-25 13:30:00+05:30,550.0,50.0,target,88.98,CE,2025-12-04
2025-11-28 09:20:00+05:30,843.95,-50.0,sl,16.94,CE,2025-12-04
2025-12-03 15:00:00+05:30,109.55,-50.0,sl,127.2,CE,2025-12-04
2025-11-21 09:20:00+05:30,547.55,50.0,target,58.84,PE,2025-12-04
2025-11-27 12:35:00+05:30,260.15,-50.0,sl,103.73,PE,2025-12-04
2025-12-01 11:45:00+05:30,173.7,50.0,target,205.12,PE,2025-12-04
2025-12-03 09:30:00+05:30,388.05,-50.0,sl,36.58,PE,2025-12-04
2025-12-04 12:45:00+05:30,227.75,-50.0,sl,29.57,PE,2025-12-04
2025-11-28 09:30:00+05:30,927.3,-50.0,sl,9.64,CE,2025-12-11
2025-12-03 14:50:00+05:30,292.35,50.0,target,106.28,CE,2025-12-11
2025-12-04 15:00:00+05:30,359.15,50.0,target,67.91,CE,2025-12-11
2025-11-27 11:55:00+05:30,503.65,50.0,target,182.81,PE,2025-12-11
2025-12-03 13:00:00+05:30,815.0,-50.0,sl,74.77,PE,2025-12-11
2025-12-05 14:45:00+05:30,326.1,50.0,target,336.78,PE,2025-12-11
2025-12-09 14:25:00+05:30,915.0,50.0,target,55.67,PE,2025-12-11
2025-12-04 15:00:00+05:30,973.7,-50.0,sl,34.21,CE,2025-12-18
2025-12-09 12:20:00+05:30,585.0,-50.0,sl,14.53,CE,2025-12-18
2025-12-11 10:30:00+05:30,349.65,50.0,target,91.62,CE,2025-12-18
2025-12-12 11:10:00+05:30,549.35,-50.0,sl,15.06,CE,2025-12-18
2025-12-16 13:55:00+05:30,237.9,-50.0,sl,5.49,CE,2025-12-18
2025-12-04 12:25:00+05:30,447.05,-50.0,sl,102.44,PE,2025-12-18
2025-12-05 14:50:00+05:30,254.85,50.0,target,255.11,PE,2025-12-18
2025-12-09 14:25:00+05:30,588.6,50.0,target,53.75,PE,2025-12-18
2025-12-15 09:15:00+05:30,318.0,50.0,target,129.84,PE,2025-12-18
2025-12-18 09:20:00+05:30,589.85,-50.0,sl,23.91,PE,2025-12-18
2025-12-18 13:50:00+05:30,394.15,50.0,target,57.96,PE,2025-12-18
2025-12-19 09:25:00+05:30,1348.6,-50.0,sl,37.07,CE,2026-01-01
2025-12-30 10:30:00+05:30,909.4,50.0,target,58.52,CE,2026-01-01
2026-01-01 10:35:00+05:30,1350.0,-12.0,end,3.37,CE,2026-01-01
2025-12-18 14:15:00+05:30,297.25,-50.0,sl,9.5,PE,2026-01-01
2025-12-24 14:30:00+05:30,30.95,50.0,target,110.99,PE,2026-01-01
2025-12-30 11:40:00+05:30,47.7,-50.0,sl,4.4,PE,2026-01-01
2025-12-29 09:15:00+05:30,516.9,-50.0,sl,55.82,CE,2026-01-08
2025-12-30 10:30:00+05:30,328.9,50.0,target,144.89,CE,2026-01-08
2026-01-02 09:30:00+05:30,424.4,50.0,target,89.79,CE,2026-01-08
2026-01-02 15:10:00+05:30,643.95,-50.0,sl,25.08,CE,2026-01-08
2026-01-07 15:25:00+05:30,45.95,-50.0,sl,4.24,CE,2026-01-08
2025-12-29 10:20:00+05:30,511.55,50.0,target,127.44,PE,2026-01-08
2025-12-30 11:15:00+05:30,721.6,-50.0,sl,61.23,PE,2026-01-08
2026-01-01 12:05:00+05:30,317.0,-50.0,sl,267.02,PE,2026-01-08
2026-01-05 13:10:00+05:30,132.0,50.0,target,781.4,PE,2026-01-08
2026-01-07 09:15:00+05:30,453.55,50.0,target,156.52,PE,2026-01-08
2026-01-02 09:30:00+05:30,950.45,-50.0,sl,29.7,CE,2026-01-14
2026-01-07 15:10:00+05:30,493.0,-50.0,sl,3.45,CE,2026-01-14
2026-01-09 15:20:00+05:30,88.0,-50.0,sl,31.7,CE,2026-01-14
2026-01-12 12:25:00+05:30,60.6,50.0,target,91.25,CE,2026-01-14
2026-01-14 14:05:00+05:30,2.45,-50.0,sl,8.16,CE,2026-01-14
2026-01-01 12:15:00+05:30,302.8,50.0,target,543.74,PE,2026-01-14
2026-01-08 14:55:00+05:30,623.5,50.0,target,212.63,PE,2026-01-14
2026-01-13 10:00:00+05:30,1258.85,20.6061,end,29.09,PE,2026-01-14
2026-01-09 15:30:00+05:30,270.25,-50.0,sl,35.06,CE,2026-01-22
