underlying,target,n_trades,win_rate,avg_ret,median_ret,avg_win,avg_loss
CHOLAFIN,30,62,58.1,-3.22,30.0,30.0,-49.22
CHOLAFIN,50,62,46.8,-3.28,-3.71,50.0,-50.09
CHOLAFIN,75,62,40.3,0.05,-50.24,75.0,-50.59
CIPLA,20,54,74.1,2.06,20.0,20.0,-49.18
CIPLA,30,54,55.6,-6.13,30.0,30.0,-51.29
CIPLA,50,54,50.0,-1.06,23.06,50.0,-52.12
CIPLA,75,54,37.0,-9.32,-50.48,63.69,-52.27
COALINDIA,20,75,70.7,-1.74,20,20.0,-54.1
COALINDIA,30,75,65.3,0.58,30,29.72,-54.35
COALINDIA,50,75,49.3,-4.0,-35.23,48.02,-54.65
COALINDIA,75,75,34.7,-11.16,-50.47,69.3,-53.86
COFORGE,20,44,68.2,-5.13,20.0,20.0,-59.0
COFORGE,30,44,54.5,-10.4,30.0,30.0,-58.89
COFORGE,50,44,50.0,-5.06,12.03,48.37,-58.49
COFORGE,75,44,38.6,-8.29,-51.49,69.95,-57.56
COLPAL,20,55,70.9,-1.31,20,19.21,-51.34
COLPAL,30,55,67.3,2.42,30,28.63,-51.45
COLPAL,50,55,58.2,5.28,50,47.17,-52.99
COLPAL,75,55,41.8,-2.98,-50.23,66.57,-52.96
CONCOR,20,42,69.0,-2.75,20.0,20.0,-53.5
CONCOR,30,42,59.5,-4.06,30.0,30.0,-54.15
CONCOR,50,42,50.0,-1.89,-0.06,50.0,-53.77
CONCOR,75,42,42.9,-1.78,-50.36,67.38,-53.65
CROMPTON,20,55,58.2,-9.04,20,20.0,-49.44
CROMPTON,30,55,54.5,-5.26,30,30.0,-47.57
CROMPTON,50,55,47.3,-2.51,-2.37,50.0,-49.59
CROMPTON,75,55,32.7,-9.99,-50.0,73.3,-50.5
CUMMINSIND,20,46,71.7,0.95,20.0,20.0,-47.4
CUMMINSIND,30,46,50.0,-10.45,5.0,30.0,-50.9
CUMMINSIND,50,46,43.5,-7.95,-38.17,48.71,-51.54
CUMMINSIND,75,46,30.4,-14.72,-50.38,71.37,-52.38
DABUR,20,59,66.1,-4.86,20,19.55,-52.47
DABUR,30,59,57.6,-5.74,30,29.19,-53.24
DABUR,50,59,50.8,-1.62,2.33,47.1,-52.02
DABUR,75,59,45.8,3.37,-50.0,69.0,-52.01
DALBHARAT,20,44,65.9,-5.97,20.0,20.0,-56.18
