market,band,side,h,arm,sess,lift,t,t_deov
stock,slight_ITM,CE,3,rv_quintile,154,-0.0023253864523152972,-0.1598667020771367,-0.11730335792163044
stock,slight_ITM,CE,3,RS_and_moverich,106,0.08344883706489628,2.2824106067636176,1.298484626859856
stock,slight_ITM,CE,3,RS_decile_WRONGWAY,108,-0.07194758915824173,-2.5408910772846363,-1.6492827107570605
stock,slight_ITM,CE,3,rv_bottom_quintile,156,0.0012596612679496293,0.09031662119090499,0.09560409987802883
stock,slight_ITM,CE,5,RS_RIGHT_minus_WRONG,60,0.048647749861454766,0.691459385280048,0.47554653210756836
stock,slight_ITM,CE,5,RS_decile,78,0.02534435499789328,0.6278769907342575,0.24766730789582492
stock,slight_ITM,CE,5,RS_quintile,80,0.05547737727970368,2.2941592289835597,1.1196835357180612
stock,slight_ITM,CE,5,alpha_decile,52,0.09200090417193746,2.1700331512407383,
stock,slight_ITM,CE,5,moverich_quintile,84,0.10739748862619299,3.2266660360476,1.4403123740421537
stock,slight_ITM,CE,5,moverich_decile,62,0.10936455846180759,2.4378105195998985,1.2175298855994248
stock,slight_ITM,CE,5,rv_quintile,83,-0.018655719982306845,-0.7672290566114146,-0.5916895163056419
stock,slight_ITM,CE,5,RS_and_moverich,60,0.1267732195441427,2.276507087115917,1.0390354300078706
stock,slight_ITM,CE,5,RS_decile_WRONGWAY,63,-0.004768206086157049,-0.0911694824072187,-0.14045659311671016
stock,slight_ITM,CE,5,rv_bottom_quintile,84,0.00024136954570984755,0.010397351936262246,-0.020959512592209274
stock,slight_ITM,PE,3,RS_RIGHT_minus_WRONG,78,0.11533469987299604,2.4982030349336615,1.4931629407439893
stock,slight_ITM,PE,3,RS_decile,140,0.01714946557810903,0.7887032848448144,0.4555848165688349
stock,slight_ITM,PE,3,RS_quintile,148,0.02120942978629109,1.9584677580447936,1.1942299269983263
stock,slight_ITM,PE,3,alpha_decile,89,0.06224830497724395,1.9774623307719792,1.2279407195600598
stock,slight_ITM,PE,3,moverich_quintile,153,0.02171015293368892,1.236481792287284,0.706983091861446
stock,slight_ITM,PE,3,moverich_decile,103,0.007046853807212728,0.31543692313939664,0.1482012348729287
stock,slight_ITM,PE,3,rv_quintile,152,0.003581747711350824,0.2104868046901198,0.06900130610033227
stock,slight_ITM,PE,3,RS_and_moverich,92,-0.0013072840112190438,-0.030543069025835336,-0.21849390996757914
stock,slight_ITM,PE,3,RS_decile_WRONGWAY,89,-0.06133339996291473,-1.8008270128190698,-1.0151864964391282
stock,slight_ITM,PE,3,rv_bottom_quintile,157,-0.021900488738386226,-1.6869064094484045,-1.0067189978067235
stock,slight_ITM,PE,5,RS_RIGHT_minus_WRONG,52,-0.0232963086780472,-0.36879166662303503,
