market,band,side,h,arm,n,sess,net,med,win,t,t_deov,lift,rand_mean,rand_pct
stock,slight_ITM,CE,5,RS_and_moverich,135,60,0.046995618844398644,-0.026629213483145994,0.4962962962962963,0.6524519136992881,0.26341938376372986,0.1342866259855497,-0.08239200826218296,0.9866666666666667
stock,slight_ITM,CE,5,RS_decile_WRONGWAY,252,63,-0.06559109553526017,-0.28344616526801536,0.3253968253968254,-0.9464579549808021,-0.6055142280543125,0.02169991160589088,-0.0658202109806582,0.5233333333333333
stock,slight_ITM,CE,5,rv_bottom_quintile,960,84,-0.08373727201661832,-0.23402443866250416,0.3614583333333333,-2.112618200109213,-1.0096824719632036,0.0035537351245327337,-0.08822015470899294,0.6
stock,slight_ITM,CE,10,unselected,466,10,0.04185961880347997,-0.28417366946778716,0.3969957081545064,0.32489128408301715,,0.0,,
stock,slight_ITM,CE,10,RS_quintile,101,9,0.002519400729569012,-0.36688524590163935,0.39603960396039606,0.020043139900173597,,-0.03934021807391096,,
stock,slight_ITM,PE,3,unselected,7816,159,-0.1677511629325763,-0.28698362939742245,0.28467246673490276,-6.406103763147793,-3.677399531751265,0.0,,
stock,slight_ITM,PE,3,RS_decile,687,140,-0.13631199440290628,-0.23219298245614034,0.34934497816593885,-4.19128387125159,-2.543612329197709,0.03143916852967002,-0.15442742317948652,0.7833333333333333
stock,slight_ITM,PE,3,RS_quintile,1732,148,-0.13751700449109658,-0.22807497269464816,0.32909930715935337,-4.64068786208098,-2.900626705703361,0.030234158441479725,-0.1585741700564071,0.9566666666666667
stock,slight_ITM,PE,3,alpha_decile,444,89,-0.08475656763940588,-0.17825497576220845,0.38063063063063063,-1.843984406614193,-1.252971923049262,0.08299459529317042,-0.1483343012563167,0.9866666666666667
stock,slight_ITM,PE,3,moverich_quintile,952,153,-0.13573971145968847,-0.26879749314531926,0.31092436974789917,-4.106849206714206,-2.457782193421753,0.032011451472887836,-0.1593744388741851,0.88
stock,slight_ITM,PE,3,moverich_decile,605,103,-0.13973863388155675,-0.23458422174840082,0.32892561983471075,-3.839822809848956,-2.2013239665660254,0.028012529051019558,-0.14722326615768414,0.6166666666666667
stock,slight_ITM,PE,3,rv_quintile,1055,152,-0.14864640715574168,-0.3060273972602739,0.2729857819905213,-4.7049410614945115,-2.7803803943887258,0.019104755776834625,-0.151858057807588,0.57
stock,slight_ITM,PE,3,RS_and_moverich,186,92,-0.15391549203949687,-0.3028034785727094,0.27956989247311825,-2.8448134937136316,-2.0939698516522895,0.013835670893079438,-0.15613807415755473,0.5566666666666666
stock,slight_ITM,PE,3,RS_decile_WRONGWAY,282,89,-0.28193377873885433,-0.3571522918468434,0.20921985815602837,-5.616341919923602,-3.3598002850301945,-0.11418261580627803,-0.22282953390488036,0.03
stock,slight_ITM,PE,3,rv_bottom_quintile,1681,157,-0.1809499160757873,-0.2903960396039604,0.27900059488399764,-7.181360693858677,-4.143782013477572,-0.013198753143211006,-0.1598160724356913,0.023333333333333334
stock,slight_ITM,PE,5,unselected,4303,85,-0.27814218604862745,-0.42839999999999995,0.22031141064373694,-9.272039182829792,-4.187360491970042,0.0,,
stock,slight_ITM,PE,5,RS_decile,395,78,-0.22189318058250385,-0.41074935400516804,0.27341772151898736,-4.599405887460456,-2.0993212895278948,0.0562490054661236,-0.2643944251618055,0.9333333333333333
stock,slight_ITM,PE,5,RS_quintile,941,81,-0.2503244952685523,-0.3715360501567398,0.26461211477151964,-6.262181425389643,-3.119199474757412,0.02781769078007512,-0.27098511934063346,0.9
stock,slight_ITM,PE,5,alpha_decile,260,51,-0.15230501394242701,-0.2737530099759201,0.3269230769230769,-2.513105889472424,,0.12583717210620043,-0.222402961291873,0.97
stock,slight_ITM,PE,5,moverich_quintile,535,82,-0.1943447217273353,-0.4002979515828678,0.2523364485981308,-4.154202438281703,-1.8319262994818701,0.08379746432129215,-0.27928655210748504,1.0
stock,slight_ITM,PE,5,moverich_decile,339,59,-0.15322394686395105,-0.3628282828282829,0.25663716814159293,-2.6958583747332314,-1.6961514683379648,0.1249182391846764,-0.23210865659280935,0.9733333333333334
stock,slight_ITM,PE,5,rv_quintile,594,84,-0.29089866065587516,-0.44567014123475857,0.18855218855218855,-7.329145395870793,-3.3120605222533923,-0.012756474607247714,-0.2763568041217857,0.28
stock,slight_ITM,PE,5,RS_and_moverich,103,55,-0.18936787512881695,-0.4033333333333334,0.2815533980582524,-2.4801714454603645,,0.0887743109198105,-0.25627807489288956,0.9133333333333333
stock,slight_ITM,PE,5,RS_decile_WRONGWAY,191,56,-0.25084401655741034,-0.4598449612403101,0.225130890052356,-3.754152339759258,-1.5345909719873447,0.027298169491217106,-0.3183807758685493,0.9366666666666666
stock,slight_ITM,PE,5,rv_bottom_quintile,953,85,-0.26765968348408536,-0.4099492385786802,0.23504721930745015,-7.56112696786244,-3.566014368578209,0.010482502564542084,-0.2777783443980793,0.7233333333333334
stock,slight_ITM,PE,10,unselected,470,9,-0.441945272392644,-0.625383399119231,0.18723404255319148,-7.6650942889294535,,0.0,,
stock,slight_ITM,PE,10,RS_quintile,107,9,-0.4550216913698184,-0.5197905759162305,0.21495327102803738,-4.77951018977634,,-0.013076418977174431,,
