avg_holding_minutes,avg_loss_return_pct,avg_return_delta_pct,avg_return_pct,avg_win_return_pct,group_name,kept_pct,max_return_pct,median_holding_minutes,median_return_delta_pct,median_return_pct,min_return_pct,opportunities,positive_underlyings,regime_model,score,spot_timeframe,timeframe,win_rate,win_rate_delta_pct
81.45,-23.7323,2.404,-4.4493,9.8034,weekly_expiry_day,38.1,10.0,39.0,0.0,10.0,-99.6904,40,0,ema_macd_agree,2.72326,15m,3m,0.575,-7.26
73.1818,-6.5889,2.0819,1.3547,7.9745,weekly_expiry_day,41.51,10.0,45.0,-8.7376,1.2624,-21.1212,22,1,ema_macd_agree,5.3351,15m,5m,0.5455,-11.49
959.5,-68.6697,1.4118,-1.0243,31.5457,weekly_series,35.09,196.7389,460.0,-2.4388,7.4781,-99.9953,80,1,ema_macd_agree,12.177018,15m,10m,0.675,-1.8
657.4342,-71.9311,11.2363,7.7607,30.7227,weekly_series,41.99,172.3831,300.0,1.7697,11.9455,-99.9953,76,2,ema_macd_agree,40.671779,15m,15m,0.7763,9.67
757.5862,-59.0024,0.3853,-6.5363,25.5263,weekly_series,82.86,116.25,360.0,0.4682,6.7334,-99.9963,87,0,ema_macd_agree,-2.533023,15m,30m,0.6207,2.07
973.9309,-71.2908,-2.3307,-4.3301,24.8055,weekly_series,57.14,194.6341,522.0,-0.2897,10.1859,-99.9972,188,0,ema_macd_agree,5.113484,15m,3m,0.6968,-2.36
1061.2406,-75.116,-7.2972,-5.8471,29.5745,weekly_series,44.04,142.4583,595.0,-3.9456,8.4863,-99.9961,133,0,ema_macd_agree,0.151204,15m,5m,0.6617,-7.67
137.25,-48.0971,-0.5042,-14.9877,8.6619,monthly_expiry_day,38.71,10.0,114.5,-4.6037,5.3963,-99.9858,24,0,ema_alignment,-10.524054,30m,1m,0.5833,-6.19
102.6,-11.644,-0.2877,3.7157,7.5556,monthly_expiry_day,43.48,10.0,84.0,0.0,10.0,-12.8432,10,2,ema_alignment,17.951315,30m,3m,0.8,6.09
125.8333,-48.9666,2.4183,-11.2747,7.5713,monthly_expiry_day,46.15,10.0,132.5,5.4013,5.1425,-97.6744,6,1,ema_alignment,-2.383827,30m,5m,0.6667,20.52
1890.5882,-69.7681,11.4666,3.509,38.5545,monthly_series,44.74,158.0537,1115.0,3.0187,12.7894,-99.998,34,1,ema_alignment,19.796638,30m,10m,0.6765,5.81
2316.7857,-58.0076,4.3697,-4.1374,36.2653,monthly_series,56.76,149.5619,1140.0,-1.5126,7.4714,-99.998,42,0,ema_alignment,1.174059,30m,15m,0.5714,-0.97
2489.0323,-65.4469,-0.6075,-3.1146,26.5674,monthly_series,53.45,80.3803,1020.0,-1.2196,8.8472,-99.998,31,1,ema_alignment,8.30899,30m,30m,0.6774,0.5
2681.3846,-61.0184,12.1315,9.1882,44.2915,monthly_series,46.99,191.6225,1140.0,1.8941,11.3007,-99.9986,39,1,ema_alignment,25.944805,30m,3m,0.6667,2.81
