avg_holding_minutes,avg_loss_return_pct,avg_return_delta_pct,avg_return_pct,avg_win_return_pct,group_name,kept_pct,max_return_pct,median_holding_minutes,median_return_pct,min_return_pct,opportunities,regime_model,spot_timeframe,timeframe,underlying,win_rate
882.0588,-66.1984,13.3635,4.898,34.5215,weekly_series,49.28,196.7389,550.0,11.7464,-99.9939,34,ema_alignment,30m,10m,NIFTY,0.7059
1002.9213,-66.4589,-4.3413,-4.1609,27.516,weekly_series,55.97,131.3139,540.0,8.0877,-99.9979,89,ema_alignment,30m,10m,SENSEX,0.6629
863.5714,-78.7638,15.7192,8.3626,37.4047,weekly_series,50.91,172.3831,555.0,10.2892,-99.9938,28,ema_alignment,30m,15m,NIFTY,0.75
869.7761,-58.0608,-1.0095,-2.791,24.2298,weekly_series,53.17,84.4385,540.0,10.7676,-99.9979,67,ema_alignment,30m,15m,SENSEX,0.6716
882.3529,-62.9053,-4.3964,-23.5109,11.5063,weekly_series,58.62,33.2606,390.0,0.7912,-99.9938,17,ema_alignment,30m,30m,NIFTY,0.5294
890.4,-63.7542,-2.2703,-4.5394,34.9371,weekly_series,65.79,116.25,600.0,7.8202,-99.9971,50,ema_alignment,30m,30m,SENSEX,0.6
1029.569,-78.6726,-0.7,-5.3551,27.6378,weekly_series,58.59,194.6341,537.0,9.9954,-99.9911,58,ema_alignment,30m,3m,NIFTY,0.6897
1004.9048,-67.9601,-6.0315,-6.8878,23.6484,weekly_series,54.78,109.4609,519.0,9.3245,-99.9972,126,ema_alignment,30m,3m,SENSEX,0.6667
1040.2381,-87.0829,-1.5397,-0.6608,30.0051,weekly_series,43.75,114.8905,585.0,13.7951,-99.9849,42,ema_alignment,30m,5m,NIFTY,0.7381
1044.1584,-66.4197,-3.9976,-2.2813,28.8446,weekly_series,49.03,142.4583,555.0,8.4863,-99.9963,101,ema_alignment,30m,5m,SENSEX,0.6733
85.125,-55.9434,-4.283,-15.9195,8.0948,monthly_expiry_day,40.0,10.0,58.0,5.237,-90.7224,8,macd_bias,30m,1m,NIFTY,0.625
