exp,opt_type,entry_date,month,entry_time,ep,spot_poc_rev,ibr,ibr_tgt_pct,ibr_sl_pct,rA,rB,rC,reason_B,reason_C,poc_alloc
2025-08-19,PE,2025-08-06,2025-08,2025-08-06 10:50:00+05:30,427.8,False,73.1,16.0,-35.3,30.0,15.965404394576893,-4.2066,target_hit,trail_stop,0.1
2025-08-19,PE,2025-08-08,2025-08,2025-08-08 10:10:00+05:30,497.8,True,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.35
2025-08-19,PE,2025-08-12,2025-08,2025-08-12 11:10:00+05:30,305.0,False,149.6,51.3,-80.0,-99.9836,-80.0,-2.9869,hard_sl,trail_stop,0.1
2025-09-04,CE,2025-08-21,2025-08,2025-08-21 12:50:00+05:30,751.0,False,134.5,22.6,-31.1,-99.9933,-31.131824234354188,-31.1318,hard_sl,hard_sl_ibr,0.1
2025-09-04,PE,2025-08-21,2025-08,2025-08-21 13:40:00+05:30,565.75,False,115.2,33.5,-27.6,30.0,33.53954927087936,12.293,target_hit,trail_stop,0.1
2025-09-04,PE,2025-08-22,2025-08,2025-08-22 14:20:00+05:30,858.45,False,247.1,22.5,-63.9,30.0,22.459083231405433,-3.669,target_hit,trail_stop,0.1
2025-09-04,PE,2025-08-26,2025-08,2025-08-26 14:20:00+05:30,1130.0,False,436.3,38.3,-77.6,30.0,38.29203539823007,28.4412,target_hit,trail_stop,0.1
2025-09-04,PE,2025-08-28,2025-08,2025-08-28 12:30:00+05:30,1735.0,True,199.5,21.8,-12.7,-20.1758,21.77809798270893,10.568,target_hit,trail_stop,0.35
2025-09-11,CE,2025-08-29,2025-08,2025-08-29 11:10:00+05:30,636.75,False,159.2,37.2,-37.8,30.0,-37.84059678052611,9.5662,hard_sl,trail_stop,0.1
2025-09-11,CE,2025-09-04,2025-09,2025-09-04 13:05:00+05:30,830.0,False,294.8,65.9,-40.7,30.0,-40.69879518072288,-40.6988,hard_sl,hard_sl_ibr,0.1
2025-09-11,CE,2025-09-10,2025-09,2025-09-10 15:25:00+05:30,1023.9,True,285.6,35.9,-47.8,2.3928,2.3928,4.0688,end,hold_to_end,0.35
2025-09-11,PE,2025-08-28,2025-08,2025-08-28 12:40:00+05:30,657.15,True,201.6,49.9,-42.1,30.0,-42.121281290420754,12.4149,hard_sl,trail_stop,0.35
2025-09-11,PE,2025-09-02,2025-09,2025-09-02 13:25:00+05:30,379.75,False,134.4,58.7,-47.4,30.0,58.696510862409504,32.5997,target_hit,trail_stop,0.1
2025-09-11,PE,2025-09-04,2025-09,2025-09-04 12:25:00+05:30,269.25,False,89.4,16.7,-80.0,30.0,16.694521819870026,-9.4698,target_hit,trail_stop,0.1
2025-09-11,PE,2025-09-08,2025-09,2025-09-08 15:00:00+05:30,137.95,False,77.9,96.9,-72.6,-99.9638,-72.59876766944544,-72.5988,hard_sl,hard_sl_ibr,0.1
2025-09-18,CE,2025-09-04,2025-09,2025-09-04 13:30:00+05:30,688.5,False,91.8,19.2,-20.8,30.0,-20.806100217864923,-20.8061,hard_sl,hard_sl_ibr,0.1
2025-09-18,CE,2025-09-10,2025-09,2025-09-10 15:25:00+05:30,764.7,True,205.5,36.7,-43.9,30.0,36.71374395187655,7.9137,target_hit,trail_stop,0.35
2025-09-18,CE,2025-09-12,2025-09,2025-09-12 15:15:00+05:30,1007.05,False,93.4,15.0,-29.6,30.0,15.0,-7.5529,target_hit,trail_stop,0.1
