variant_key,group_name,indicator,timeframe,exit_name,expiry_day_only,score,opportunities,win_rate,avg_return_pct,median_return_pct,avg_win_return_pct,avg_loss_return_pct,max_realized_return_pct,avg_holding_minutes,median_holding_minutes,avg_max_possible_return_pct,max_possible_return_pct
weekly_series|series|10m|adx_di_cross|trail_after_20pct_dd10pct,weekly_series,adx_di_cross,10m,trail_after_20pct_dd10pct,False,20.66991,68,0.7059,2.1624,10.0845,25.77,-54.4959,145.6645,719.1176,375.0,100.1072,811.4004
weekly_series|series|10m|adx_di_cross|trail_after_30pct_dd15pct,weekly_series,adx_di_cross,10m,trail_after_30pct_dd15pct,False,30.379034,64,0.6719,2.9151,16.1086,37.0947,-67.0716,193.1521,977.9688,695.0,103.4595,811.4004
weekly_series|series|15m|adx_di_cross|target_30pct,weekly_series,adx_di_cross,15m,target_30pct,False,25.798149,34,0.5882,-14.1595,30.0,30.0,-77.2445,30.0,948.0882,480.0,88.0664,287.8762
weekly_series|series|15m|adx_di_cross|trail_after_20pct_dd10pct,weekly_series,adx_di_cross,15m,trail_after_20pct_dd10pct,False,6.0649,36,0.5833,-4.3072,7.6706,41.4772,-68.4054,102.4257,885.0,375.0,84.9511,287.8762
weekly_series|series|15m|adx_di_cross|trail_after_30pct_dd15pct,weekly_series,adx_di_cross,15m,trail_after_30pct_dd15pct,False,6.964159,34,0.5588,-4.1053,8.5791,49.7332,-72.3007,113.8148,1042.9412,667.5,88.0664,287.8762
weekly_series|series|30m|adx_di_cross|target_30pct,weekly_series,adx_di_cross,30m,target_30pct,False,21.914099,18,0.6111,-14.5527,30.0,28.422,-82.0844,30.0,960.0,375.0,141.3213,709.0307
weekly_series|series|30m|adx_di_cross|trail_after_20pct_dd10pct,weekly_series,adx_di_cross,30m,trail_after_20pct_dd10pct,False,16.748103,18,0.6111,-4.5469,18.5444,38.4019,-72.0379,61.6216,926.6667,435.0,141.3213,709.0307
weekly_series|series|30m|adx_di_cross|trail_after_30pct_dd15pct,weekly_series,adx_di_cross,30m,trail_after_30pct_dd15pct,False,11.708853,18,0.6111,-5.45,14.4788,43.3173,-82.0844,114.217,1016.6667,435.0,141.3213,709.0307
monthly_series|series|3m|macd_zero|target_30pct,monthly_series,macd_zero,3m,target_30pct,False,32.786294,65,0.6,-12.3936,30.0,28.4971,-73.7297,30.0,3884.2154,2130.0,84.6194,478.4526
monthly_series|series|3m|macd_zero|trail_after_20pct_dd10pct,monthly_series,macd_zero,3m,trail_after_20pct_dd10pct,False,12.638445,83,0.6386,-2.9433,9.4066,32.3118,-65.2272,191.6225,3060.8313,1266.0,75.3814,478.4526
monthly_series|series|3m|macd_zero|trail_after_30pct_dd15pct,monthly_series,macd_zero,3m,trail_after_30pct_dd15pct,False,8.851384,66,0.5606,-5.656,10.0292,42.8364,-67.5256,191.6225,3915.1818,2200.5,86.9725,478.4526
monthly_series|series|5m|macd_zero|target_30pct,monthly_series,macd_zero,5m,target_30pct,False,43.874723,74,0.6622,-6.6351,30.0,29.0445,-76.5669,30.0,3180.7432,1135.0,124.855,940.8602
monthly_series|series|5m|macd_zero|trail_after_20pct_dd10pct,monthly_series,macd_zero,5m,trail_after_20pct_dd10pct,False,16.960294,87,0.6782,-2.2177,10.7875,30.0053,-70.1163,191.0163,2781.2644,1080.0,116.2286,940.8602
monthly_series|series|5m|macd_zero|trail_after_30pct_dd15pct,monthly_series,macd_zero,5m,trail_after_30pct_dd15pct,False,14.265698,71,0.6056,-4.5419,12.2081,37.2506,-68.7234,174.9458,3482.1831,1915.0,129.2252,940.8602
monthly_series|series|10m|macd_zero|target_30pct,monthly_series,macd_zero,10m,target_30pct,False,33.225429,66,0.5909,-11.568,30.0,29.7937,-71.3125,30.0,3452.8788,1085.0,97.3252,582.2445
monthly_series|series|10m|macd_zero|trail_after_20pct_dd10pct,monthly_series,macd_zero,10m,trail_after_20pct_dd10pct,False,7.197375,76,0.6184,-7.9576,9.7707,30.2183,-69.8288,158.0537,2978.4211,1290.0,90.5756,582.2445
monthly_series|series|10m|macd_zero|trail_after_30pct_dd15pct,monthly_series,macd_zero,10m,trail_after_30pct_dd15pct,False,4.114139,67,0.5672,-8.7133,8.6739,36.0702,-67.3953,141.6107,3530.0,1750.0,98.0281,582.2445
monthly_series|series|15m|macd_zero|target_30pct,monthly_series,macd_zero,15m,target_30pct,False,32.056407,63,0.5873,-12.1891,30.0,29.5393,-71.5717,30.0,3345.0,1500.0,88.4654,691.4465
monthly_series|series|15m|macd_zero|trail_after_20pct_dd10pct,monthly_series,macd_zero,15m,trail_after_20pct_dd10pct,False,4.986574,74,0.5811,-8.5071,8.984,30.601,-62.7539,149.5619,2890.5405,1312.5,86.1011,691.4465
monthly_series|series|15m|macd_zero|trail_after_30pct_dd15pct,monthly_series,macd_zero,15m,trail_after_30pct_dd15pct,False,-0.264294,62,0.5323,-10.0535,6.5026,39.5845,-66.5381,133.4502,3644.7581,1950.0,89.1083,691.4465
monthly_series|series|30m|macd_zero|target_30pct,monthly_series,macd_zero,30m,target_30pct,False,34.171654,52,0.6154,-10.0356,30.0,27.4195,-69.9639,30.0,3030.5769,1005.0,78.9973,447.8589
monthly_series|series|30m|macd_zero|trail_after_20pct_dd10pct,monthly_series,macd_zero,30m,trail_after_20pct_dd10pct,False,13.810783,58,0.6724,-2.5071,10.0668,26.7618,-62.5854,80.3803,2465.6897,930.0,76.2945,447.8589
monthly_series|series|30m|macd_zero|trail_after_30pct_dd15pct,monthly_series,macd_zero,30m,trail_after_30pct_dd15pct,False,-3.639168,51,0.5294,-11.7724,4.9487,34.3287,-63.6361,108.7608,3321.1765,1560.0,79.8039,447.8589
monthly_series|series|3m|rsi_50_cross|target_30pct,monthly_series,rsi_50_cross,3m,target_30pct,False,37.970736,70,0.6286,-9.5732,30.0,28.6053,-74.183,30.0,3658.1571,2086.5,82.9964,485.7624
monthly_series|series|3m|rsi_50_cross|trail_after_20pct_dd10pct,monthly_series,rsi_50_cross,3m,trail_after_20pct_dd10pct,False,12.425741,84,0.631,-2.0002,8.721,33.5185,-62.7258,198.4265,3074.7143,1492.5,75.6949,485.7624
monthly_series|series|3m|rsi_50_cross|trail_after_30pct_dd15pct,monthly_series,rsi_50_cross,3m,trail_after_30pct_dd15pct,False,11.481614,70,0.6,-4.2201,10.2954,39.7075,-70.1115,198.4265,3735.8571,2076.0,83.4922,485.7624
monthly_series|series|5m|rsi_50_cross|target_30pct,monthly_series,rsi_50_cross,5m,target_30pct,False,38.953618,72,0.625,-8.6835,30.0,29.3358,-72.0491,30.0,3441.9444,1507.5,88.8037,473.4433
monthly_series|series|5m|rsi_50_cross|trail_after_20pct_dd10pct,monthly_series,rsi_50_cross,5m,trail_after_20pct_dd10pct,False,11.324207,84,0.631,-3.8065,9.2703,31.2044,-63.6639,171.5092,3003.75,1392.5,78.8811,473.4433
monthly_series|series|5m|rsi_50_cross|trail_after_30pct_dd15pct,monthly_series,rsi_50_cross,5m,trail_after_30pct_dd15pct,False,7.185315,68,0.5588,-7.0007,9.7286,39.1507,-65.4593,153.8787,3759.4118,2300.0,89.782,473.4433
