name,dt,xdt,entry,entry_mid,o,w1_c,p0945,typ,rest_h,after_open_h,src,nb,helper,r_open,r_w1c,r_0945,r_typ,r_mid,unrev_day,unrev_rest,r_corr,zero
ICICIBANK,2025-10-01,2025-10-03,1372.0,1372.5,1371.9,1364.5,1364.6,1365.8999999999999,1371.4,1371.4,upstox_spot,13,-7.288629737600694e-05,-7.288629737600694e-05,-0.0054664723032069595,-0.005393586005830953,-0.004446064139941752,-0.0027696793002914832,True,True,-0.004446064139941752,False
ICICIBANK,2025-10-09,2025-10-10,1374.0,1375.5,1370.3,1379.2,1379.3,1376.2666666666667,1385.0,1385.0,upstox_spot,13,-0.0026928675400291757,-0.0026928675400291757,0.0037845705967975984,0.0038573508005821378,0.0016496846191169645,0.0005458515283842669,False,False,-0.0026928675400291757,False
ICICIBANK,2025-10-10,2025-10-13,1380.4,1381.0500000000002,1373.1,1380.0,1380.0,1379.8333333333333,1383.5,1383.5,upstox_spot,13,-0.005288322225442066,-0.005288322225442066,-0.0002897710808461573,-0.0002897710808461573,-0.00041050903119876914,-0.002789046653144167,False,False,-0.005288322225442066,False
ICICIBANK,2025-10-14,2025-10-15,1384.8,1385.3,1386.5,1386.5,1386.5,1388.0,1400.4,1400.4,upstox_spot,13,0.0012276140958984438,0.0012276140958984438,0.0012276140958984438,0.0012276140958984438,0.0023108030040439598,0.0012276140958984438,False,False,0.0012276140958984438,False
ICICIBANK,2025-10-15,2025-10-16,1399.0,1399.7,1401.0,1402.2,1402.0,1403.8666666666668,1418.9,1418.9,upstox_spot,13,0.0014295925661187425,0.0014295925661187425,0.0022873481057898992,0.0021443888491778917,0.0034786752442221847,0.0018584703359540988,False,False,0.0014295925661187425,False
ICICIBANK,2025-10-16,2025-10-17,1417.4,1417.95,1412.0,1420.0,1419.8,1418.5,1439.6,1439.6,upstox_spot,13,-0.0038097925779596586,-0.0038097925779596586,0.001834344574572988,0.0016932411457597496,0.0007760688584732556,-0.0009877240016933353,False,False,-0.0038097925779596586,False
ICICIBANK,2025-10-17,2025-10-20,1436.6,1437.6999999999998,1442.0,1410.9,1411.0,1417.9000000000003,1411.6,1411.6,upstox_spot,13,0.003758875121815386,0.003758875121815386,-0.01788946122789903,-0.017819852429347027,-0.013016845329249294,-0.007065293053041821,True,True,-0.013016845329249294,False
ICICIBANK,2025-10-24,2025-10-27,1378.0,1378.75,1382.1,1381.1,1381.1,1382.2333333333333,1383.0,1383.0,upstox_spot,13,0.002975326560232139,0.002975326560232139,0.002249637155297357,0.002249637155297357,0.0030720851475567468,0.002612481857764859,False,False,0.002975326560232139,False
ICICIBANK,2025-10-29,2025-10-30,1371.6,1371.65,1362.4,1364.4,1364.4,1365.6666666666667,1367.9,1367.9,upstox_spot,13,-0.006707494896471156,-0.006707494896471156,-0.005249343832020914,-0.005249343832020914,-0.004325848157869072,-0.005978419364246035,False,False,-0.006707494896471156,False
ICICIBANK,2025-11-03,2025-11-04,1349.0,1349.5,1342.6,1342.3,1342.3,1344.4333333333334,1343.0,1343.0,upstox_spot,13,-0.004744255003706566,-0.004744255003706566,-0.004966641957005247,-0.004966641957005247,-0.0033852236224363175,-0.004855448480355906,False,False,-0.004744255003706566,False
